adiposity	sequence_id	protein	gene	cancer	group
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	colon	Sex-combined
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	proximal	Sex-combined
BMI	18398_1	AK1D1	AKR1D1	distal	Sex-combined
BMI	18878_15	GREM1	GREM1	overall	Sex-combined
BMI	18878_15	GREM1	GREM1	overall-HRC-EUR	Sex-combined
BMI	18878_15	GREM1	GREM1	colon	Sex-combined
BMI	18878_15	GREM1	GREM1	distal	Sex-combined
BMI	18878_15	GREM1	GREM1	proximal	Sex-combined
BMI	18878_15	GREM1	GREM1	rectal	Sex-combined
BMI	19123_6	IKBD	NFKBID	colon	Sex-combined
BMI	19260_4	GIPC1	GIPC1	overall	Sex-combined
BMI	19260_4	GIPC1	GIPC1	overall-HRC-EUR	Sex-combined
BMI	19260_4	GIPC1	GIPC1	proximal	Sex-combined
BMI	19280_29	UB2D3	UBE2D3	colon	Sex-combined
BMI	19376_74	NNMT	NNMT	proximal	Sex-combined
BMI	2597_8	VEGF	VEGFA	distal	Sex-combined
BMI	2683_1	iC3b	C3	rectal	Sex-combined
BMI	2731_29	NADPH_P450_Oxidoreductase	POR	rectal	Sex-combined
BMI	3005_5	PTP_1B	PTPN1	distal	Sex-combined
BMI	3005_5	PTP_1B	PTPN1	proximal	Sex-combined
BMI	4960_72	annexin_I	ANXA1	proximal	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	overall	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	overall-HRC-EUR	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	rectal	Sex-combined
BMI	5484_63	RS3A	RPS3A	distal	Sex-combined
BMI	5490_53	Testican_1	SPOCK1	colon	Sex-combined
BMI	5590_11	ZPLD1	ZPLD1	overall	Sex-combined
BMI	5599_88	PCYXL	PCYOX1L	overall	Sex-combined
BMI	5599_88	PCYXL	PCYOX1L	overall-HRC-EUR	Sex-combined
BMI	5822_22	GDNF	GDNF	proximal	Sex-combined
BMI	6276_16	Furin	FURIN	proximal	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	overall	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	overall-HRC-EUR	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	proximal	Sex-combined
BMI	6520_87	MGP	MGP	overall	Sex-combined
BMI	7069_9	TSNA1	TSNARE1	proximal	Sex-combined
BMI	7090_17	GALT1	GALNT1	proximal	Sex-combined
BMI	7147_35	WFDC8	WFDC8	distal	Sex-combined
BMI	7785_1	Ephrin_B3	EFNB3	proximal	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	overall	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	overall-HRC-EUR	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	colon	Sex-combined
BMI	8372_29	CDHR1	CDHR1	proximal	Sex-combined
BMI	8589_13	CDCP1	CDCP1	distal	Sex-combined
BMI	8758_2	PCDA7	PCDHA7	proximal	Sex-combined
BMI	8838_10	CASC4	CASC4	overall	Sex-combined
BMI	8838_10	CASC4	CASC4	overall-HRC-EUR	Sex-combined
BMI	8838_10	CASC4	CASC4	colon	Sex-combined
BMI	8838_10	CASC4	CASC4	rectal	Sex-combined
BMI	9834_62	ADH1B	ADH1B	overall	Sex-combined
BMI	9834_62	ADH1B	ADH1B	overall-HRC-EUR	Sex-combined
WHR	11126_102	TRIO	TRIO	colon	Sex-combined
WHR	11573_3	SRSF6	SRSF6	overall-HRC-EUR	Sex-combined
WHR	11573_3	SRSF6	SRSF6	proximal	Sex-combined
WHR	12743_18	BAG5	BAG5	colon	Sex-combined
WHR	12743_18	BAG5	BAG5	proximal	Sex-combined
WHR	12842_43	STX10	STX10	proximal	Sex-combined
WHR	12892_10	SYTL1	SYTL1	overall	Sex-combined
WHR	13468_5	NEUL4	NEURL4	proximal	Sex-combined
WHR	13481_24	TCEA2	TCEA2	proximal	Sex-combined
WHR	13509_5	SCAM5	SCAMP5	overall	Sex-combined
WHR	13561_5	5HT6R	HTR6	overall	Sex-combined
WHR	17329_2	BDH2	BDH2	distal	Sex-combined
WHR	18267_74	CAR17	CARD17	overall	Sex-combined
WHR	18339_207	PSB3	PSMB3	proximal	Sex-combined
WHR	18398_1	AK1D1	AKR1D1	distal	Sex-combined
WHR	19123_6	IKBD	NFKBID	colon	Sex-combined
WHR	19280_29	UB2D3	UBE2D3	colon	Sex-combined
WHR	2731_29	NADPH_P450_Oxidoreductase	POR	rectal	Sex-combined
WHR	5339_49	calgranulin_B	S100A9	overall	Sex-combined
WHR	5339_49	calgranulin_B	S100A9	overall-HRC-EUR	Sex-combined
WHR	5339_49	calgranulin_B	S100A9	rectal	Sex-combined
WHR	5484_63	RS3A	RPS3A	distal	Sex-combined
WHR	5490_53	Testican_1	SPOCK1	colon	Sex-combined
WHR	6521_35	NPTX2	NPTX2	colon	Sex-combined
WHR	6572_10	LRRT4	LRRTM4	colon	Sex-combined
WHR	7090_17	GALT1	GALNT1	proximal	Sex-combined
WHR	7147_35	WFDC8	WFDC8	distal	Sex-combined
WHR	7785_1	Ephrin_B3	EFNB3	proximal	Sex-combined
WHR	7886_26	SPTC1	SPTLC1	overall	Sex-combined
WHR	7886_26	SPTC1	SPTLC1	overall-HRC-EUR	Sex-combined
WHR	7886_26	SPTC1	SPTLC1	colon	Sex-combined
WHR	8357_43	ST4A1	SULT4A1	colon	Sex-combined
WHR	8589_13	CDCP1	CDCP1	distal	Sex-combined
WHR	9095_5	MTFR1	MTFR1	overall	Sex-combined
WHR	9095_5	MTFR1	MTFR1	overall-HRC-EUR	Sex-combined
WHR	9834_62	ADH1B	ADH1B	overall	Sex-combined
WHR	9834_62	ADH1B	ADH1B	overall-HRC-EUR	Sex-combined
