sequence_id	protein	gene	adiposity	group
17857_6	ACADL	ACADL	BMI	Male
18156_7	ATG3	ATG3	BMI	Male
18166_4	RHOB	RHOB	BMI	Male
18193_165	MO4L1	MORF4L1	BMI	Male
18202_22	CD37	CD37	BMI	Male
18220_141	SRA1	SRA1	BMI	Male
18242_8	Sperm_protein_17	SPA17	BMI	Male
18255_6	NB5R1	CYB5R1	BMI	Male
18259_15	MEOX2	MEOX2	BMI	Male
18276_34	TCL1B	TCL1B	BMI	Male
18297_8	RASM	MRAS	BMI	Male
18304_19	BCCIP	BCCIP	BMI	Male
18306_1	PALM	PALM	BMI	Male
18313_4	Asparaginase_like_protein_1	ASRGL1	BMI	Male
18339_207	PSB3	PSMB3	BMI	Male
18342_2	SERC	PSAT1	BMI	Male
18376_19	Myosin_light_chain_1	MYL3	BMI	Male
18380_78	Albumin	ALB	BMI	Male
18381_16	ALDH_E2	ALDH2	BMI	Male
18386_36	GLRX1	GLRX	BMI	Male
18396_10	AES	AES	BMI	Male
18397_5	AK1C4	AKR1C4	BMI	Male
18398_1	AK1D1	AKR1D1	BMI	Male
18404_22	ANR54	ANKRD54	BMI	Male
18819_21	PPIC	PPIC	BMI	Male
18823_52	H2B3B	HIST3H2BB	BMI	Male
18832_65	SAA2	SAA2	BMI	Male
18840_205	SH21B	SH2D1B	BMI	Male
18859_7	4EBP3	EIF4EBP3	BMI	Male
18874_66	CEBPA	CEBPA	BMI	Male
18892_48	GPC4	GPC4	BMI	Male
18893_26	GPR56	GPR56	BMI	Male
18896_23	H6ST3	HS6ST3	BMI	Male
18901_26	HS71B	HSPA1B	BMI	Male
18910_45	LIN7A	LIN7A	BMI	Male
18917_53	Pancreatic_alpha_amylase	AMY2A	BMI	Male
18935_14	TLR5	TLR5	BMI	Male
18943_4	PTGR2	PTGR2	BMI	Male
18947_3	LRC3B	LRRC3B	BMI	Male
19116_1	MUTED	MUTED	BMI	Male
19126_4	C20orf77	RPRD1B	BMI	Male
19127_1	HSPB6	HSPB6	BMI	Male
19130_81	SPB8	SERPINB8	BMI	Male
19166_15	RS19	RPS19	BMI	Male
19168_71	PPIP1	PSTPIP1	BMI	Male
19183_164	RL12	RPL12	BMI	Male
19195_85	RS5	RPS5	BMI	Male
19196_73	HOP	HOPX	BMI	Male
19213_1	ISK4	SPINK4	BMI	Male
19225_11	BLNK	BLNK	BMI	Male
19227_18	BATF	BATF	BMI	Male
19233_75	ATOX1	ATOX1	BMI	Male
19236_24	TCP4	SUB1	BMI	Male
19237_17	D_dopachrome_decarboxylase	DDT	BMI	Male
19241_31	RBP_III	RBP5	BMI	Male
19242_21	PFD1	PFDN1	BMI	Male
19255_124	NXT2	NXT2	BMI	Male
19260_4	GIPC1	GIPC1	BMI	Male
19261_12	SDCB2	SDCBP2	BMI	Male
19280_29	UB2D3	UBE2D3	BMI	Male
19281_86	MAFG	MAFG	BMI	Male
19289_29	DCUP	UROD	BMI	Male
19294_26	CRIPT	CRIPT	BMI	Male
19296_51	MLRA	MYL7	BMI	Male
19302_7	GIMA6	GIMAP6	BMI	Male
19317_114	Prostatic_acid_phosphatase	ACPP	BMI	Male
19545_145	Oxidized_PARK7	PARK7	BMI	Male
19553_14	STX1a	STX1A	BMI	Male
19557_3	KLOTB	KLB	BMI	Male
19563_3	SEZ6L	SEZ6L	BMI	Male
19579_5	HNP_1	DEFA1	BMI	Male
19596_18	BRF_1	BRF1	BMI	Male
19602_36	jun_D	JUND	BMI	Male
19617_5	LTB4DH	PTGR1	BMI	Male
19636_23	G_HLA_G	HLA	BMI	Male
2212_69	tPA	PLAT	BMI	Male
2381_52	C5	C5	BMI	Male
2431_17	Cathepsin_G	CTSG	BMI	Male
2443_10	FGF_8B	FGF8	BMI	Male
2474_54	SAP	APCS	BMI	Male
2505_49	GFRa_3	GFRA3	BMI	Male
2567_5	Factor_I	CFI	BMI	Male
2579_17	MMP_9	MMP9	BMI	Male
2597_8	VEGF	VEGFA	BMI	Male
2602_2	Angiopoietin_2	ANGPT2	BMI	Male
2609_59	Cystatin_C	CST3	BMI	Male
2612_5	eIF_5	EIF5	BMI	Male
2614_28	Ephrin_A4	EFNA4	BMI	Male
2631_50	IL_10_Rb	IL10RB	BMI	Male
2637_77	Macrophage_mannose_receptor	MRC1	BMI	Male
2654_19	TNF_sR_I	TNFRSF1A	BMI	Male
2658_27	TrkC	NTRK3	BMI	Male
2681_23	HGF	HGF	BMI	Male
2687_2	MIA	MIA	BMI	Male
2692_74	NPS_PLA2	PLA2G2A	BMI	Male
2696_87	Persephin	PSPN	BMI	Male
2704_74	TACI	TNFRSF13B	BMI	Male
2730_58	MICA	MICA	BMI	Male
2732_58	NANOG	NANOG	BMI	Male
2742_68	Siglec_7	SIGLEC7	BMI	Male
2754_50	C3	C3	BMI	Male
2760_2	DRR1	FAM107A	BMI	Male
2771_35	IGFBP_1	IGFBP1	BMI	Male
2774_10	IL_16	IL16	BMI	Male
2835_1	Ku70	XRCC6	BMI	Male
2838_53	MMP_17	MMP17	BMI	Male
2851_63	C5a	C5	BMI	Male
2875_15	TBP	TBP	BMI	Male
2878_66	YES	YES1	BMI	Male
2925_9	PAI_1	SERPINE1	BMI	Male
2946_52	Factor_D	CFD	BMI	Male
2948_58	Growth_hormone_receptor	GHR	BMI	Male
2950_57	IGFBP_4	IGFBP4	BMI	Male
2960_66	Properdin	CFP	BMI	Male
2967_8	VCAM_1	VCAM1	BMI	Male
2968_61	TNFSF15	TNFSF15	BMI	Male
2974_61	contactin_1	CNTN1	BMI	Male
2982_82	Galectin_4	LGALS4	BMI	Male
2987_37	Histone_H1_2	HIST1H1C	BMI	Male
2991_9	IL_1_sRI	IL1R1	BMI	Male
3040_59	MIP_1a	CCL3	BMI	Male
3044_3	PARC	CCL18	BMI	Male
3049_61	Trypsin	PRSS1	BMI	Male
3057_55	WISP_1	WISP1	BMI	Male
3060_43	C9	C9	BMI	Male
3070_1	IL_2	IL2	BMI	Male
3074_6	LBP	LBP	BMI	Male
3078_1	PlGF	PGF	BMI	Male
3079_62	TIG2	RARRES2	BMI	Male
3143_3	sCD4	CD4	BMI	Male
3152_57	TNF_sR_II	TNFRSF1B	BMI	Male
3181_50	Cathepsin_S	CTSS	BMI	Male
3186_2	C2	C2	BMI	Male
3189_61	Enterokinase	TMPRSS15	BMI	Male
3220_40	RET	RET	BMI	Male
3221_54	SARP_2	SFRP1	BMI	Male
3235_50	WFKN2	WFIKKN2	BMI	Male
3285_23	C1r	C1R	BMI	Male
3291_30	CD23	FCER2	BMI	Male
3302_58	CYTF	CST7	BMI	Male
3314_74	GFRa_1	GFRA1	BMI	Male
3336_50	TFPI	TFPI	BMI	Male
3339_33	TSP2	THBS2	BMI	Male
3340_53	TSP4	THBS4	BMI	Male
3343_1	Aminoacylase_1	ACY1	BMI	Male
3352_80	Carbonic_anhydrase_6	CA6	BMI	Male
3374_49	HCK	HCK	BMI	Male
3378_49	Kallikrein_7	KLK7	BMI	Male
3396_54	Renin	REN	BMI	Male
3431_54	EphA1	EPHA1	BMI	Male
3438_10	FSTL3	FSTL3	BMI	Male
3440_7	granzyme_A	GZMA	BMI	Male
3452_17	LCK	LCK	BMI	Male
3461_58	PGCB	BCAN	BMI	Male
3470_1	sE_Selectin	SELE	BMI	Male
3472_40	Survivin	BIRC5	BMI	Male
3485_28	b2_Microglobulin	B2M	BMI	Male
3486_58	b_ECGF	FGF1	BMI	Male
3508_78	MDC	CCL22	BMI	Male
3520_58	TGF_b3	TGFB3	BMI	Male
3554_24	Adiponectin	ADIPOQ	BMI	Male
3603_60	CLC7A	CLEC7A	BMI	Male
3605_77	MASP3	MASP1	BMI	Male
3607_71	DKK3	DKK3	BMI	Male
3616_3	GNS	GNS	BMI	Male
3620_67	IL22RA1	IL22RA1	BMI	Male
3622_33	LGMN	LGMN	BMI	Male
3730_81	TNR4	TNFRSF4	BMI	Male
3799_11	Carbonic_anhydrase_III	CA3	BMI	Male
3809_1	FGFR_3	FGFR3	BMI	Male
4124_24	HSP_70	HSPA1A	BMI	Male
4125_52	sRAGE	AGER	BMI	Male
4129_72	Factor_B	CFB	BMI	Male
4136_40	IL_17D	IL17D	BMI	Male
4159_130	Factor_H	CFH	BMI	Male
4163_5	Histone_H2A_z	H2AFZ	BMI	Male
4261_55	paraoxonase_1	PON1	BMI	Male
4324_33	CYTT	CST2	BMI	Male
4337_49	CRP	CRP	BMI	Male
4359_87	DYRK3	DYRK3	BMI	Male
4374_45	MIC_1	GDF15	BMI	Male
4392_54	FGF_12	FGF12	BMI	Male
4435_66	ENPP7	ENPP7	BMI	Male
4459_68	PCSK7	PCSK7	BMI	Male
4498_62	NCAM_120	NCAM1	BMI	Male
4533_76	ATS15	ADAMTS15	BMI	Male
4553_65	HDGR2	HDGFRP2	BMI	Male
4560_34	LCK	LCK	BMI	Male
4563_61	PLCG1	PLCG1	BMI	Male
4566_24	RSPO2	RSPO2	BMI	Male
4568_17	SLIK5	SLITRK5	BMI	Male
4673_13	IL_6	IL6	BMI	Male
4712_28	Apo_D	APOD	BMI	Male
4763_31	Afamin	AFM	BMI	Male
4811_33	ITI_heavy_chain_H4	ITIH4	BMI	Male
4862_63	BMP_RII	BMPR2	BMI	Male
4883_56	Insulin	INS	BMI	Male
4886_3	MCP_3	CCL7	BMI	Male
4900_8	C3a	C3	BMI	Male
4910_21	GIB	PLA2G1B	BMI	Male
4913_78	HCC_4	CCL16	BMI	Male
4929_55	SHBG	SHBG	BMI	Male
4931_59	TF	F3	BMI	Male
4960_72	annexin_I	ANXA1	BMI	Male
4968_50	CAPG	CAPG	BMI	Male
