exposure	direction_group	outcome	group
TRIM21	negative	distal	Female
TSHB	positive	distal	Female
TSPAN1	positive	distal	Female
TXLNA	NA	distal	Female
TXNDC15	positive	distal	Female
TXNDC5	positive	distal	Female
TYMP	NA	distal	Female
UMOD	negative	distal	Female
USO1	positive	distal	Female
UXS1	negative	distal	Female
VASN	negative	distal	Female
VCAM1	negative	distal	Female
VCAN	positive	distal	Female
VEGFA	positive	distal	Female
VMO1	negative	distal	Female
VNN2	positive	distal	Female
VPS37A	NA	distal	Female
VSIG4	positive	distal	Female
VSIR	negative	distal	Female
VSTM1	NA	distal	Female
VSTM2L	NA	distal	Female
VTA1	positive	distal	Female
VWF	negative	distal	Female
WAS	NA	distal	Female
WASF1	NA	distal	Female
WFDC12	positive	distal	Female
WFIKKN1	negative	distal	Female
WFIKKN2	negative	distal	Female
WWP2	NA	distal	Female
XCL1	positive	distal	Female
YES1	NA	distal	Female
ZBTB16	positive	distal	Female
ZBTB17	NA	distal	Female
