sequence_id	direction_group	outcome	group
14008_22	positive	overall	Sex-combined
14011_17	positive	overall	Sex-combined
14013_11	NA	overall	Sex-combined
14021_81	positive	overall	Sex-combined
14024_196	negative	overall	Sex-combined
14028_22	negative	overall	Sex-combined
14039_33	NA	overall	Sex-combined
14045_12	negative	overall	Sex-combined
14047_78	negative	overall	Sex-combined
14048_7	negative	overall	Sex-combined
14061_48	negative	overall	Sex-combined
14063_17	NA	overall	Sex-combined
14066_49	negative	overall	Sex-combined
14067_6	positive	overall	Sex-combined
14070_56	negative	overall	Sex-combined
14076_74	positive	overall	Sex-combined
14079_14	negative	overall	Sex-combined
14090_23	NA	overall	Sex-combined
14091_42	positive	overall	Sex-combined
14100_63	negative	overall	Sex-combined
14107_1	positive	overall	Sex-combined
14111_15	NA	overall	Sex-combined
14112_40	negative	overall	Sex-combined
14115_34	NA	overall	Sex-combined
14120_2	negative	overall	Sex-combined
14121_24	negative	overall	Sex-combined
14123_34	negative	overall	Sex-combined
14128_121	negative	overall	Sex-combined
14132_21	NA	overall	Sex-combined
14133_93	positive	overall	Sex-combined
14134_49	negative	overall	Sex-combined
14143_8	negative	overall	Sex-combined
14144_3	negative	overall	Sex-combined
14146_92	NA	overall	Sex-combined
14149_9	negative	overall	Sex-combined
14151_4	negative	overall	Sex-combined
14157_21	NA	overall	Sex-combined
14158_17	positive	overall	Sex-combined
14175_78	negative	overall	Sex-combined
14192_31	NA	overall	Sex-combined
14197_2	negative	overall	Sex-combined
14204_55	positive	overall	Sex-combined
14205_6	NA	overall	Sex-combined
14208_3	negative	overall	Sex-combined
14216_35	negative	overall	Sex-combined
14226_120	negative	overall	Sex-combined
14227_21	positive	overall	Sex-combined
14229_5	negative	overall	Sex-combined
14246_50	negative	overall	Sex-combined
14249_68	NA	overall	Sex-combined
14250_115	negative	overall	Sex-combined
14254_27	positive	overall	Sex-combined
14268_4	positive	overall	Sex-combined
14273_19	negative	overall	Sex-combined
14283_12	NA	overall	Sex-combined
14284_23	NA	overall	Sex-combined
14287_6	positive	overall	Sex-combined
14291_53	NA	overall	Sex-combined
14294_61	negative	overall	Sex-combined
14318_1	negative	overall	Sex-combined
14326_4	positive	overall	Sex-combined
14329_4	NA	overall	Sex-combined
14332_3	NA	overall	Sex-combined
14334_3	negative	overall	Sex-combined
14337_1	positive	overall	Sex-combined
14593_152	negative	overall	Sex-combined
14599_18	negative	overall	Sex-combined
14603_51	positive	overall	Sex-combined
14615_46	NA	overall	Sex-combined
14616_16	NA	overall	Sex-combined
14619_8	negative	overall	Sex-combined
14624_51	NA	overall	Sex-combined
14631_22	negative	overall	Sex-combined
14634_13	negative	overall	Sex-combined
14663_44	positive	overall	Sex-combined
